extension,UTI,preferred_extension
iig,com.apple.iig-source,iig
iiq,com.phaseone.raw-image,iiq
img,com.apple.disk-image-udif,dmg
inl,public.c-plus-plus-inline-header,inl
ipa,com.apple.itunes.ipa,ipa
ipg,com.apple.itunes.ipg,ipg
ipp,public.c-plus-plus-header,hh
ips,com.apple.ips,ips
iso,public.iso-image,iso
ite,com.apple.tv.ite,ite
itl,com.apple.itunes.db,itl
jar,com.sun.java-archive,jar
jav,com.sun.java-source,java
jdz,com.p5sys.jump.file.archive,jdz
jfx,com.j2.jfx-fax,jfx
jpe,public.jpeg,jpeg
jpf,public.jpeg-2000,jp2
jpg,public.jpeg,jpeg
jpx,public.jpeg-2000,jp2
jp2,public.jpeg-2000,jp2
j2c,public.jpeg-2000,jp2
j2k,public.jpeg-2000,jp2
kar,public.midi-audio,midi
key,com.apple.iwork.keynote.sffkey,key
ksh,public.ksh-script,ksh
kth,com.apple.iwork.keynote.sffkth,kth
ktx,org.khronos.ktx,ktx
lha,org.7-zip.lha-archive,lha
lid,public.dylan-source,dlyan
lmm,public.lex-source,l
log,com.apple.log,log
lpp,public.lex-source,l
lso,com.apple.logic-song,lso
lsr,com.apple.lsr-image,lsr
lxx,public.lex-source,l
lzh,org.7-zip.lha-archive,lha
mak,public.make-source,make
mem,com.parallels.vm.vmmem,mem
mht,com.microsoft.word.mhtml,mht
mid,public.midi-audio,midi
mig,public.mig-source,defs
mii,public.objective-c-plus-plus-source.preprocessed,mii
mjs,com.netscape.javascript-source,js
mka,org.matroska.mka,mka
mkv,org.matroska.mkv,mkv
mlp,org.videolan.mlp,mlp
mnc,ca.mcgill.mni.bic.mnc,mnc
mod,org.videolan.mod,mod
mom,com.apple.xcode.mom,mom
mos,com.leafamerica.raw-image,mos
mov,com.apple.quicktime-movie,mov
mpc,org.videolan.mpc,mpc
mpe,public.mpeg,mpg
mpg,public.mpeg,mpg
mpo,public.mpo-image,mpo
mp2,public.mp2,mp2
mp3,public.mp3,mp3
mp4,public.mpeg-4,mp4
mrw,com.konicaminolta.raw-image,mrw
mts,public.avchd-mpeg-2-transport-stream,mts
